date,open,high,low,close
12/16/2009,41.5,42.0,40.86,41.52
12/15/2009,41.39,41.52,40.61,40.7
12/14/2009,42.27,42.3,40.84,41.62
12/11/2009,40.6,43.05,40.6,41.84
12/10/2009,42.44,42.77,40.21,40.36
12/09/2009,43.12,43.13,41.67,42.33
12/08/2009,44.01,44.13,43.3,43.45
12/07/2009,44.55,44.89,44.19,44.54
12/04/2009,42.59,44.89,42.59,44.6
12/03/2009,42.01,42.75,41.85,42.19
12/02/2009,42.66,42.66,41.91,42.08
12/01/2009,42.16,43.08,41.94,42.66
11/30/2009,41.36,42.0,41.0,41.98
11/27/2009,41.41,42.02,40.71,41.3
11/25/2009,42.23,42.89,41.9,42.59
11/24/2009,41.51,42.27,40.74,42.11
11/23/2009,41.33,42.66,41.27,41.61
11/20/2009,41.54,41.54,40.34,40.96
11/19/2009,42.68,42.78,41.45,41.75
11/18/2009,42.25,43.09,42.01,42.98
11/17/2009,42.39,42.61,41.86,42.57
11/16/2009,41.61,42.79,41.11,42.57
11/13/2009,39.73,41.34,39.64,41.13
11/12/2009,41.25,41.6,39.41,39.57
11/11/2009,41.99,42.23,41.14,41.35
11/10/2009,41.08,42.09,40.97,41.6
11/09/2009,40.5,41.48,40.5,41.06
11/06/2009,40.53,40.86,39.74,40.07
11/05/2009,40.19,41.0,40.13,40.74
11/04/2009,39.64,40.27,39.32,39.76
11/03/2009,37.91,39.23,37.75,39.12
11/02/2009,38.78,38.97,37.7,38.45
10/30/2009,39.5,39.88,38.22,38.43
10/29/2009,40.0,41.4,39.86,40.99
10/28/2009,41.5,41.53,39.54,39.56
10/27/2009,43.75,43.75,41.47,41.87
10/26/2009,44.12,45.23,43.35,43.65
10/23/2009,45.0,45.5,44.13,44.37
10/22/2009,44.02,45.55,42.57,44.78
10/21/2009,44.28,45.52,43.94,44.93
10/20/2009,44.84,45.0,43.83,44.64
10/19/2009,45.14,45.27,44.44,44.9
10/16/2009,45.2,45.49,44.23,44.76
10/15/2009,44.9,45.57,44.21,45.57
10/14/2009,44.25,45.11,44.14,45.05
10/13/2009,43.87,43.97,43.3,43.75
10/12/2009,42.96,44.48,42.65,43.77
10/09/2009,41.92,42.62,41.68,42.39
10/08/2009,42.08,42.62,41.61,42.28
10/07/2009,40.86,41.96,40.86,41.84
10/06/2009,40.39,41.25,40.22,41.11
10/05/2009,38.99,39.97,38.99,39.87
10/02/2009,37.59,39.24,36.92,38.67
10/01/2009,39.7,39.99,37.53,37.75
09/30/2009,39.42,40.9,38.89,40.17
09/29/2009,39.8,39.98,39.21,39.52
09/28/2009,38.92,39.98,38.6,39.76
09/25/2009,39.79,40.2,38.22,38.52
09/24/2009,40.26,40.97,39.52,40.2
09/23/2009,41.12,41.12,40.03,40.04
09/22/2009,40.35,41.17,40.35,41.09
09/21/2009,40.05,40.35,38.81,40.16
09/18/2009,40.85,41.04,40.33,40.77
09/17/2009,40.74,41.15,40.09,40.63
09/16/2009,40.08,41.19,40.0,40.66
09/15/2009,39.68,40.4,39.35,40.0
09/14/2009,38.9,39.79,38.38,39.78
09/11/2009,39.0,39.5,38.78,39.24
09/10/2009,38.36,38.93,37.57,38.75
09/09/2009,37.72,38.26,37.0,38.08
09/08/2009,37.45,38.0,36.85,37.32
09/04/2009,35.26,36.46,35.02,36.31
09/03/2009,34.39,35.22,34.07,35.12
09/02/2009,33.7,34.39,33.15,34.0
09/01/2009,35.37,35.9,33.67,33.75
08/31/2009,35.65,35.65,34.34,35.43
08/28/2009,35.47,36.42,34.33,36.03
08/27/2009,34.0,34.99,33.95,34.98
08/26/2009,32.12,33.48,32.0,33.2
08/25/2009,31.68,32.32,31.61,32.04
08/24/2009,31.71,32.21,31.59,31.6
08/21/2009,31.29,31.82,31.04,31.7
08/20/2009,30.71,31.16,30.33,31.16
08/19/2009,30.2,30.71,30.0,30.5
08/18/2009,30.45,30.86,30.39,30.62
08/17/2009,30.79,31.47,30.06,30.12
08/14/2009,32.42,32.42,31.26,31.83
08/13/2009,32.0,32.76,31.34,32.4
08/12/2009,31.32,32.13,31.26,31.59
08/11/2009,31.36,31.84,31.25,31.28
08/10/2009,31.65,32.4,31.35,32.0
08/07/2009,33.18,33.31,32.55,32.77
08/06/2009,33.11,33.26,32.44,32.71
08/05/2009,33.2,33.3,32.63,33.06
08/04/2009,32.74,33.5,32.74,33.2
08/03/2009,32.82,33.32,32.66,33.13
07/31/2009,32.15,32.93,32.0,32.23
07/30/2009,31.94,33.0,31.87,32.31
07/29/2009,32.69,32.69,31.55,31.79
07/28/2009,32.65,33.05,32.37,32.53
07/27/2009,33.48,33.65,32.7,32.85
07/24/2009,32.7,33.87,32.27,33.47
07/23/2009,33.84,34.2,32.69,32.77
07/22/2009,30.59,32.0,30.59,31.25
07/21/2009,30.8,31.09,30.35,30.97
07/20/2009,31.01,32.35,30.53,31.1
07/17/2009,30.02,30.81,29.88,30.81
07/16/2009,29.35,30.19,29.31,29.98
07/15/2009,29.25,29.48,29.08,29.3
07/14/2009,28.7,29.09,28.33,28.6
07/13/2009,27.42,28.66,27.26,28.26
07/10/2009,26.5,27.24,26.5,26.89
07/09/2009,26.59,27.1,26.19,26.97
07/08/2009,26.9,26.9,25.75,26.12
07/07/2009,27.74,28.2,26.55,26.76
07/06/2009,28.2,28.21,27.31,28.07
07/02/2009,28.2,28.5,27.78,28.24
07/01/2009,27.53,29.5,27.35,28.76
06/30/2009,28.29,28.49,27.25,27.27
06/29/2009,28.08,29.05,27.77,28.22
06/26/2009,27.69,28.15,27.5,27.95
